e s0 s1 s2
-0.100000 63.000000 -38.000000 -20.000000
-0.099000 63.606061 -38.404040 -20.202020
-0.098000 64.224490 -38.816327 -20.408163
-0.097000 64.855670 -39.237113 -20.618557
-0.096000 65.500000 -39.666667 -20.833333
-0.095000 66.157895 -40.105263 -21.052632
-0.094000 66.829787 -40.553191 -21.276596
-0.093000 67.516129 -41.010753 -21.505376
-0.092000 68.217391 -41.478261 -21.739130
-0.091000 68.934066 -41.956044 -21.978022
-0.090000 69.666667 -42.444444 -22.222222
-0.089000 70.415730 -42.943820 -22.471910
-0.088000 71.181818 -43.454545 -22.727273
-0.087000 71.965517 -43.977011 -22.988506
-0.086000 72.767442 -44.511628 -23.255814
-0.085000 73.588235 -45.058824 -23.529412
-0.084000 74.428571 -45.619048 -23.809524
-0.083000 75.289157 -46.192771 -24.096386
-0.082000 76.170732 -46.780488 -24.390244
-0.081000 77.074074 -47.382716 -24.691358
-0.080000 78.000000 -48.000000 -25.000000
-0.079000 78.949367 -48.632911 -25.316456
-0.078000 79.923077 -49.282051 -25.641026
-0.077000 80.922078 -49.948052 -25.974026
-0.076000 81.947368 -50.631579 -26.315789
-0.075000 83.000000 -51.333333 -26.666667
-0.074000 84.081081 -52.054054 -27.027027
-0.073000 85.191781 -52.794521 -27.397260
-0.072000 86.333333 -53.555556 -27.777778
-0.071000 87.507042 -54.338028 -28.169014
-0.070000 88.714286 -55.142857 -28.571429
-0.069000 89.956522 -55.971014 -28.985507
-0.068000 91.235294 -56.823529 -29.411765
-0.067000 92.552239 -57.701493 -29.850746
-0.066000 93.909091 -58.606061 -30.303030
-0.065000 95.307692 -59.538462 -30.769231
-0.064000 96.750000 -60.500000 -31.250000
-0.063000 98.238095 -61.492063 -31.746032
-0.062000 99.774194 -62.516129 -32.258065
-0.061000 101.360656 -63.573770 -32.786885
-0.060000 103.000000 -64.666667 -33.333333
-0.059000 104.694915 -65.796610 -33.898305
-0.058000 106.448276 -66.965517 -34.482759
-0.057000 108.263158 -68.175439 -35.087719
-0.056000 110.142857 -69.428571 -35.714286
-0.055000 112.090909 -70.727273 -36.363636
-0.054000 114.111111 -72.074074 -37.037037
-0.053000 116.207547 -73.471698 -37.735849
-0.052000 118.384615 -74.923077 -38.461538
-0.051000 120.647059 -76.431373 -39.215686
-0.050000 123.000000 -78.000000 -40.000000
-0.049000 125.448980 -79.632653 -40.816327
-0.048000 128.000000 -81.333333 -41.666667
-0.047000 130.659574 -83.106383 -42.553191
-0.046000 133.434783 -84.956522 -43.478261
-0.045000 136.333333 -86.888889 -44.444444
-0.044000 139.363636 -88.909091 -45.454545
-0.043000 142.534884 -91.023256 -46.511628
-0.042000 145.857143 -93.238095 -47.619048
-0.041000 149.341463 -95.560976 -48.780488
-0.040000 153.000000 -98.000000 -50.000000
-0.039000 156.846154 -100.564103 -51.282051
-0.038000 160.894737 -103.263158 -52.631579
-0.037000 165.162162 -106.108108 -54.054054
-0.036000 169.666667 -109.111111 -55.555556
-0.035000 174.428571 -112.285714 -57.142857
-0.034000 179.470588 -115.647059 -58.823529
-0.033000 184.818182 -119.212121 -60.606061
-0.032000 190.500000 -123.000000 -62.500000
-0.031000 196.548387 -127.032258 -64.516129
-0.030000 203.000000 -131.333333 -66.666667
-0.029000 209.896552 -135.931034 -68.965517
-0.028000 217.285714 -140.857143 -71.428571
-0.027000 225.222222 -146.148148 -74.074074
-0.026000 233.769231 -151.846154 -76.923077
-0.025000 243.000000 -158.000000 -80.000000
-0.024000 253.000000 -164.666667 -83.333333
-0.023000 263.869565 -171.913043 -86.956522
-0.022000 275.727273 -179.818182 -90.909091
-0.021000 288.714286 -188.476190 -95.238095
-0.020000 303.000000 -198.000000 -100.000000
-0.019000 318.789474 -208.526316 -105.263158
-0.018000 336.333333 -220.222222 -111.111111
-0.017000 355.941176 -233.294118 -117.647059
-0.016000 378.000000 -248.000000 -125.000000
-0.015000 403.000000 -264.666667 -133.333333
-0.014000 431.571429 -283.714286 -142.857143
-0.013000 464.538462 -305.692308 -153.846154
-0.012000 503.000000 -331.333333 -166.666667
-0.011000 548.454545 -361.636364 -181.818182
-0.010000 603.000000 -398.000000 -200.000000
-0.009000 669.666667 -442.444444 -222.222222
-0.008000 753.000000 -498.000000 -250.000000
-0.007000 860.142857 -569.428571 -285.714286
-0.006000 1003.000000 -664.666667 -333.333333
-0.005000 1203.000000 -798.000000 -400.000000
-0.004000 1503.000000 -998.000000 -500.000000
-0.003000 2003.000000 -1331.333333 -666.666667
-0.002000 3003.000000 -1998.000000 -1000.000000
-0.001000 6003.000000 -3998.000000 -2000.000000
0.000000 nan inf inf
0.001000 -5997.000000 4002.000000 2000.000000
0.002000 -2997.000000 2002.000000 1000.000000
0.003000 -1997.000000 1335.333333 666.666667
0.004000 -1497.000000 1002.000000 500.000000
0.005000 -1197.000000 802.000000 400.000000
0.006000 -997.000000 668.666667 333.333333
0.007000 -854.142857 573.428571 285.714286
0.008000 -747.000000 502.000000 250.000000
0.009000 -663.666667 446.444444 222.222222
0.010000 -597.000000 402.000000 200.000000
0.011000 -542.454545 365.636364 181.818182
0.012000 -497.000000 335.333333 166.666667
0.013000 -458.538462 309.692308 153.846154
0.014000 -425.571429 287.714286 142.857143
0.015000 -397.000000 268.666667 133.333333
0.016000 -372.000000 252.000000 125.000000
