n t
2 0.000000
12 0.000000
22 1.000000
32 1.000000
42 3.000000
52 3.000000
62 5.000000
72 6.000000
82 8.000000
92 12.000000
102 16.000000
112 18.000000
122 23.000000
132 31.000000
142 35.000000
152 44.000000
162 53.000000
172 59.000000
182 71.000000
192 85.000000
202 119.000000
212 114.000000
222 135.000000
232 223.000000
242 163.000000
252 201.000000
262 184.000000
272 201.000000
282 242.000000
292 253.000000
302 271.000000
312 302.000000
322 354.000000
332 408.000000
342 525.000000
352 427.000000
362 451.000000
372 485.000000
382 530.000000
392 563.000000
402 602.000000
412 651.000000
422 693.000000
432 748.000000
442 794.000000
452 845.000000
462 968.000000
472 963.000000
482 1067.000000
492 1094.000000
502 1185.000000
512 1303.000000
522 1437.000000
532 1359.000000
542 1446.000000
552 1827.000000
562 1717.000000
572 1643.000000
582 1639.000000
592 1722.000000
602 1815.000000
612 1956.000000
622 2710.000000
632 2265.000000
642 2482.000000
652 2645.000000
662 2637.000000
672 2823.000000
682 2833.000000
692 2912.000000
702 3039.000000
712 3191.000000
722 3285.000000
732 3532.000000
742 3656.000000
752 3837.000000
762 3861.000000
772 4330.000000
782 4371.000000
792 4518.000000
802 4460.000000
812 4619.000000
822 5449.000000
832 5366.000000
842 5319.000000
852 5497.000000
862 5511.000000
872 5993.000000
882 5926.000000
892 6306.000000
902 6416.000000
912 6535.000000
922 6824.000000
932 6958.000000
942 7540.000000
952 7492.000000
962 7780.000000
972 7828.000000
982 8228.000000
992 8312.000000
