n t
2 0.000000
12 0.000000
22 2.000000
32 2.000000
42 4.000000
52 5.000000
62 8.000000
72 14.000000
82 17.000000
92 22.000000
102 29.000000
112 37.000000
122 47.000000
132 57.000000
142 72.000000
152 86.000000
162 108.000000
172 125.000000
182 146.000000
192 167.000000
202 208.000000
212 222.000000
222 301.000000
232 316.000000
242 357.000000
252 419.000000
262 429.000000
272 570.000000
282 555.000000
292 605.000000
302 766.000000
312 728.000000
322 1074.000000
332 1393.000000
342 1161.000000
352 1329.000000
362 1276.000000
372 1462.000000
382 1533.000000
392 1508.000000
402 1841.000000
412 1882.000000
422 1986.000000
432 1980.000000
442 2429.000000
452 2372.000000
462 2638.000000
472 2672.000000
482 3089.000000
492 3077.000000
502 3570.000000
512 4282.000000
522 4094.000000
532 3453.000000
542 3789.000000
552 3874.000000
562 4357.000000
572 4546.000000
582 5169.000000
592 5095.000000
602 5686.000000
612 5712.000000
622 6379.000000
632 6290.000000
642 7169.000000
652 7290.000000
662 8273.000000
672 7832.000000
682 8965.000000
692 8696.000000
702 9792.000000
712 9354.000000
722 10696.000000
732 10579.000000
742 13435.000000
752 12208.000000
762 14566.000000
772 14662.000000
782 15458.000000
792 14637.000000
802 18226.000000
812 16315.000000
822 18496.000000
832 19150.000000
842 20108.000000
852 19019.000000
862 21210.000000
872 20396.000000
882 22977.000000
892 22799.000000
902 24447.000000
912 23409.000000
922 26511.000000
932 25547.000000
942 28541.000000
952 26646.000000
962 30045.000000
972 30352.000000
982 34592.000000
992 31509.000000
