x y R1 R2 R3 R1x R1y R1z R2x R2y R2z R3x R3y R3z
0 0 708526.220857 1080156.979974 823758.600000 3.95332e-009 706079 58839.9 -815310 -706079 -58839.9 815310 -1.03491e-010 117680
0 1 708518.248195 1067350.601771 816977.297273 1.06078e-007 706030 59330.2 -808515 -694360 -58349.6 808515 -11669.9 116699
0 2 708412.901893 1054626.418542 810359.846753 -1.52522e-007 705883 59820.6 -801721 -682739 -57859.2 801721 -23143.7 115718
0 3 708210.199603 1041984.160355 803901.896792 1.8406e-009 705638 60310.9 -794927 -671216 -57368.9 794927 -34421.3 114738
0 4 707910.159585 1029423.552441 797599.002038 8.35081e-008 705294 60801.2 -788133 -659791 -56878.6 788133 -45502.9 113757
0 5 707512.800725 1016944.315117 791446.628451 -1.18328e-008 704853 61291.6 -781338 -648465 -56388.2 781338 -56388.2 112776
0 6 707018.142568 1004546.163699 785440.158556 1.30037e-008 704314 61781.9 -774544 -637236 -55897.9 774544 -67077.5 111796
0 7 706426.205346 992228.808432 779574.896931 -2.20687e-008 703676 62272.2 -767750 -626106 -55407.6 767750 -77570.6 110815
0 8 705737.010004 979991.954396 773846.075886 -3.20931e-008 702941 62762.6 -760956 -615073 -54917.2 760956 -87867.6 109834
0 9 704950.578237 967835.301432 768248.861324 1.72106e-007 702107 63252.9 -754161 -604139 -54426.9 754161 -97968.4 108854
0 10 704066.932525 955758.544057 762778.358730 3.31538e-009 701175 63743.2 -747367 -593302 -53936.6 747367 -107873 107873
0 11 703086.096158 943761.371375 757429.619290 -6.30464e-008 700146 64233.6 -740573 -582564 -53446.2 740573 -117582 106892
0 12 702008.093285 931843.467001 752197.646085 2.31255e-008 699018 64723.9 -733779 -571924 -52955.9 733779 -127094 105912
0 13 700832.948949 920004.508969 747077.400349 -2.69124e-009 697792 65214.2 -726984 -561382 -52465.6 726984 -136411 104931
0 14 699560.689128 908244.169648 742063.807741 -3.2345e-008 696468 65704.6 -720190 -550938 -51975.2 720190 -145531 103950
0 15 698191.340779 896562.115661 737151.764633 -9.50277e-009 695046 66194.9 -713396 -540592 -51484.9 713396 -154455 102970
0 16 696724.931887 884958.007791 732336.144361 8.57962e-009 693526 66685.2 -706602 -530344 -50994.6 706602 -163183 101989
0 17 695161.491512 873431.500896 727611.803413 2.79479e-009 691908 67175.6 -699807 -520194 -50504.2 699807 -171714 101008
0 18 693501.049839 861982.243828 722973.587554 -5.51697e-009 690192 67665.9 -693013 -510142 -50013.9 693013 -180050 100028
0 19 691743.638238 850609.879336 718416.337830 -1.65426e-008 688378 68156.2 -686219 -500188 -49523.6 686219 -188190 99047.2
0 20 689889.289319 839314.043985 713934.896457 4.45655e-008 686465 68646.6 -679425 -490333 -49033.2 679425 -196133 98066.5
0 21 687938.036996 828094.368063 709524.112551 2.36753e-008 684455 69136.9 -672630 -480575 -48542.9 672630 -203880 97085.8
0 22 685889.916548 816950.475497 705178.847703 -3.55317e-008 682347 69627.2 -665836 -470915 -48052.6 665836 -211431 96105.2
0 23 683744.964696 805881.983762 700893.981356 3.17973e-009 680140 70117.5 -659042 -461354 -47562.3 659042 -218786 95124.5
